#year,month,day,hour,qtr,lineID,stationID,statusN,statusS
2015,01,22,00,1, 0,  0,2,0
2015,01,22,00,1, 0,  1,0,0
2015,01,22,00,1, 0,  2,1,1
2015,01,22,00,1, 0,  3,0,0
2015,01,22,00,1, 0,  4,0,1
2015,01,22,00,1, 0,  5,0,1
2015,01,22,00,1, 0,  6,0,0
2015,01,22,00,1, 0,  7,0,0
2015,01,22,00,1, 0,  8,0,0
2015,01,22,00,1, 0,  9,0,0
2015,01,22,00,1, 0, 10,0,1
2015,01,22,00,1, 0, 11,0,1
2015,01,22,00,1, 0, 12,0,1
2015,01,22,00,1, 0, 13,0,0
2015,01,22,00,1, 0, 14,0,0
2015,01,22,00,1, 0, 15,0,0
2015,01,22,00,1, 0, 16,0,1
2015,01,22,00,1, 0, 17,0,0
2015,01,22,00,1, 0, 18,0,0
2015,01,22,00,1, 0, 19,0,0
2015,01,22,00,1, 0, 20,0,0
2015,01,22,00,1, 0, 21,0,0
2015,01,22,00,1, 0, 22,0,0
2015,01,22,00,1, 0, 23,1,1
2015,01,22,00,1, 0, 24,0,0
2015,01,22,00,1, 0, 25,0,0
2015,01,22,00,1, 0, 26,1,0
2015,01,22,00,1, 0, 27,0,0
2015,01,22,00,1, 0, 28,0,0
2015,01,22,00,1, 0, 29,0,0
2015,01,22,00,1, 0, 30,0,0
2015,01,22,00,1, 0, 31,1,0
2015,01,22,00,1, 0, 32,1,0
2015,01,22,00,1, 0, 33,0,1
2015,01,22,00,1, 0, 34,0,0
2015,01,22,00,1, 0, 35,0,0
2015,01,22,00,1, 0, 36,0,0
2015,01,22,00,1, 1,  0,0,0
2015,01,22,00,1, 1,  1,0,0
2015,01,22,00,1, 1,  2,0,0
2015,01,22,00,1, 1,  3,0,0
2015,01,22,00,1, 1,  4,0,0
2015,01,22,00,1, 1,  5,0,0
2015,01,22,00,1, 1,  6,1,1
2015,01,22,00,1, 1,  7,1,1
2015,01,22,00,1, 1,  8,0,0
2015,01,22,00,1, 1,  9,0,0
2015,01,22,00,1, 1, 10,0,0
2015,01,22,00,1, 1, 11,1,1
2015,01,22,00,1, 2,  0,1,1
2015,01,22,00,1, 2,  1,0,0
2015,01,22,00,1, 2,  2,0,0
2015,01,22,00,1, 2,  3,0,0
2015,01,22,00,1, 2,  4,1,1
2015,01,22,00,1, 2,  5,0,1
2015,01,22,00,1, 2,  6,0,0
2015,01,22,00,1, 2,  7,0,0
