#year,month,day,hour,lineID,stationID,statusN,statusS
2014,7,30,0, 4,  3,0,0
2014,7,30,0, 4,  3,0,0
2014,7,30,0, 4,  3,0,0
2014,7,30,0, 4,  3,0,0
2014,7,30,1, 4,  3,0,0
2014,7,30,1, 4,  3,0,0
2014,7,30,1, 4,  3,0,0
2014,7,30,1, 4,  3,0,0
2014,7,30,2, 4,  3,0,0
2014,7,30,2, 4,  3,0,0
2014,7,30,2, 4,  3,0,0
2014,7,30,2, 4,  3,0,0
2014,7,30,3, 4,  3,0,0
2014,7,30,3, 4,  3,0,0
2014,7,30,3, 4,  3,0,0
2014,7,30,3, 4,  3,0,0
2014,7,30,4, 4,  3,0,0
2014,7,30,4, 4,  3,0,0
2014,7,30,4, 4,  3,0,0
2014,7,30,4, 4,  3,0,0
2014,7,30,5, 4,  3,0,0
2014,7,30,5, 4,  3,0,0
2014,7,30,5, 4,  3,0,0
2014,7,30,5, 4,  3,0,0
2014,7,30,6, 4,  3,1,1
2014,7,30,6, 4,  3,1,1
2014,7,30,6, 4,  3,1,1
2014,7,30,6, 4,  3,1,1
2014,7,30,7, 4,  3,1,1
2014,7,30,7, 4,  3,1,1
2014,7,30,7, 4,  3,2,1
2014,7,30,7, 4,  3,2,1
2014,7,30,8, 4,  3,2,1
2014,7,30,8, 4,  3,2,0
2014,7,30,8, 4,  3,2,0
2014,7,30,8, 4,  3,2,0
2014,7,30,9, 4,  3,0,0
2014,7,30,9, 4,  3,0,0
2014,7,30,9, 4,  3,0,0
2014,7,30,9, 4,  3,0,0
2014,7,30,10, 4,  3,0,0
2014,7,30,10, 4,  3,0,0
2014,7,30,10, 4,  3,0,0
2014,7,30,10, 4,  3,0,0
2014,7,30,11, 4,  3,0,0
2014,7,30,11, 4,  3,0,0
2014,7,30,11, 4,  3,2,0
2014,7,30,11, 4,  3,2,0
2014,7,30,12, 4,  3,2,0
2014,7,30,12, 4,  3,1,0
2014,7,30,12, 4,  3,1,0
2014,7,30,12, 4,  3,1,0
2014,7,30,13, 4,  3,1,0
2014,7,30,13, 4,  3,1,0
2014,7,30,13, 4,  3,1,0
2014,7,30,13, 4,  3,1,0
2014,7,30,14, 4,  3,1,0
2014,7,30,14, 4,  3,1,0
2014,7,30,14, 4,  3,1,0
2014,7,30,14, 4,  3,1,0
2014,7,30,15, 4,  3,1,0
2014,7,30,15, 4,  3,1,0
2014,7,30,15, 4,  3,1,0
2014,7,30,15, 4,  3,1,0
2014,7,30,16, 4,  3,1,0
2014,7,30,16, 4,  3,0,0
2014,7,30,16, 4,  3,0,0
2014,7,30,16, 4,  3,1,0
2014,7,30,17, 4,  3,1,0
2014,7,30,17, 4,  3,1,0
2014,7,30,17, 4,  3,1,0
2014,7,30,17, 4,  3,1,0
2014,7,30,18, 4,  3,1,0
2014,7,30,18, 4,  3,1,0
2014,7,30,18, 4,  3,1,0
2014,7,30,18, 4,  3,1,0
2014,7,30,19, 4,  3,1,0
2014,7,30,19, 4,  3,1,0
2014,7,30,19, 4,  3,1,0
2014,7,30,19, 4,  3,1,0
2014,7,30,20, 4,  3,1,0
2014,7,30,20, 4,  3,1,0
2014,7,30,20, 4,  3,1,0
2014,7,30,20, 4,  3,1,0
2014,7,30,21, 4,  3,1,0
2014,7,30,21, 4,  3,1,0
2014,7,30,21, 4,  3,1,0
2014,7,30,21, 4,  3,0,0
2014,7,30,22, 4,  3,0,0
2014,7,30,22, 4,  3,0,0
2014,7,30,22, 4,  3,0,1
2014,7,30,22, 4,  3,0,1
2014,7,30,23, 4,  3,0,1
2014,7,30,23, 4,  3,0,0
2014,7,30,23, 4,  3,0,0
2014,7,30,23, 4,  3,0,0
2014,8,6,0, 4,  3,0,0
2014,8,6,0, 4,  3,0,0
2014,8,6,0, 4,  3,0,0
2014,8,6,0, 4,  3,0,0
2014,8,6,1, 4,  3,0,0
2014,8,6,1, 4,  3,0,0
2014,8,6,1, 4,  3,0,0
2014,8,6,1, 4,  3,0,0
2014,8,6,2, 4,  3,0,0
2014,8,6,2, 4,  3,0,0
2014,8,6,2, 4,  3,0,0
2014,8,6,2, 4,  3,0,0
2014,8,6,3, 4,  3,0,0
