#year,month,day,hour,lineID,stationID,statusN,statusS
2014,7,28,0, 4, 12,1,0
2014,7,28,0, 4, 12,1,0
2014,7,28,0, 4, 12,1,0
2014,7,28,0, 4, 12,1,0
2014,7,28,1, 4, 12,1,0
2014,7,28,1, 4, 12,1,0
2014,7,28,1, 4, 12,1,0
2014,7,28,1, 4, 12,1,0
2014,7,28,2, 4, 12,1,0
2014,7,28,2, 4, 12,1,0
2014,7,28,2, 4, 12,1,0
2014,7,28,2, 4, 12,1,0
2014,7,28,3, 4, 12,1,0
2014,7,28,3, 4, 12,1,0
2014,7,28,3, 4, 12,1,0
2014,7,28,3, 4, 12,1,0
2014,7,28,4, 4, 12,1,0
2014,7,28,4, 4, 12,1,0
2014,7,28,4, 4, 12,1,0
2014,7,28,4, 4, 12,1,0
2014,7,28,5, 4, 12,1,0
2014,7,28,5, 4, 12,1,0
2014,7,28,5, 4, 12,1,0
2014,7,28,5, 4, 12,1,0
2014,7,28,6, 4, 12,1,0
2014,7,28,6, 4, 12,1,0
2014,7,28,6, 4, 12,1,0
2014,7,28,6, 4, 12,1,0
2014,7,28,7, 4, 12,2,0
2014,7,28,7, 4, 12,2,0
2014,7,28,7, 4, 12,2,0
2014,7,28,7, 4, 12,2,0
2014,7,28,8, 4, 12,2,0
2014,7,28,8, 4, 12,2,0
2014,7,28,8, 4, 12,2,0
2014,7,28,8, 4, 12,2,0
2014,7,28,9, 4, 12,2,0
2014,7,28,9, 4, 12,-1,-1
2014,7,28,9, 4, 12,2,0
2014,7,28,9, 4, 12,0,0
2014,7,28,10, 4, 12,0,0
2014,7,28,10, 4, 12,0,0
2014,7,28,10, 4, 12,0,0
2014,7,28,10, 4, 12,0,0
2014,7,28,11, 4, 12,0,0
2014,7,28,11, 4, 12,0,0
2014,7,28,11, 4, 12,0,0
2014,7,28,11, 4, 12,0,0
2014,7,28,12, 4, 12,1,0
2014,7,28,12, 4, 12,1,0
2014,7,28,12, 4, 12,1,0
2014,7,28,12, 4, 12,1,0
2014,7,28,13, 4, 12,1,0
2014,7,28,13, 4, 12,1,0
2014,7,28,13, 4, 12,2,0
2014,7,28,13, 4, 12,2,0
2014,7,28,14, 4, 12,0,0
2014,7,28,14, 4, 12,0,0
2014,7,28,14, 4, 12,0,0
2014,7,28,14, 4, 12,0,0
2014,7,28,15, 4, 12,0,0
2014,7,28,15, 4, 12,0,0
2014,7,28,15, 4, 12,0,0
2014,7,28,15, 4, 12,0,0
2014,7,28,16, 4, 12,0,0
2014,7,28,16, 4, 12,0,0
2014,7,28,16, 4, 12,0,0
2014,7,28,16, 4, 12,0,0
2014,7,28,17, 4, 12,0,0
2014,7,28,17, 4, 12,0,0
2014,7,28,17, 4, 12,0,0
2014,7,28,17, 4, 12,0,1
2014,7,28,18, 4, 12,0,0
2014,7,28,18, 4, 12,0,0
2014,7,28,18, 4, 12,0,0
2014,7,28,18, 4, 12,0,0
2014,7,28,19, 4, 12,0,0
2014,7,28,19, 4, 12,0,0
2014,7,28,19, 4, 12,0,0
2014,7,28,19, 4, 12,0,0
2014,7,28,20, 4, 12,0,0
2014,7,28,20, 4, 12,1,1
2014,7,28,20, 4, 12,1,1
2014,7,28,20, 4, 12,1,1
2014,7,28,21, 4, 12,1,1
2014,7,28,21, 4, 12,1,1
2014,7,28,21, 4, 12,1,1
2014,7,28,21, 4, 12,0,0
2014,7,28,22, 4, 12,0,0
2014,7,28,22, 4, 12,0,0
2014,7,28,22, 4, 12,0,0
2014,7,28,22, 4, 12,1,2
2014,7,28,23, 4, 12,1,2
2014,7,28,23, 4, 12,1,0
2014,7,28,23, 4, 12,1,0
2014,7,28,23, 4, 12,1,0
2014,8,4,0, 4, 12,0,0
2014,8,4,0, 4, 12,0,0
2014,8,4,0, 4, 12,0,0
2014,8,4,0, 4, 12,0,0
2014,8,4,1, 4, 12,0,0
2014,8,4,1, 4, 12,0,0
2014,8,4,1, 4, 12,0,0
2014,8,4,1, 4, 12,0,0
2014,8,4,2, 4, 12,0,0
2014,8,4,2, 4, 12,0,0
2014,8,4,2, 4, 12,0,0
2014,8,4,2, 4, 12,0,0
