#year,month,day,hour,lineID,stationID,statusN,statusS
2014,7,31,0, 4,  8,1,1
2014,7,31,0, 4,  8,1,1
2014,7,31,0, 4,  8,1,1
2014,7,31,0, 4,  8,0,0
2014,7,31,1, 4,  8,0,0
2014,7,31,1, 4,  8,0,0
2014,7,31,1, 4,  8,0,0
2014,7,31,1, 4,  8,0,0
2014,7,31,2, 4,  8,0,0
2014,7,31,2, 4,  8,0,0
2014,7,31,2, 4,  8,0,0
2014,7,31,2, 4,  8,0,0
2014,7,31,3, 4,  8,0,0
2014,7,31,3, 4,  8,0,0
2014,7,31,3, 4,  8,0,0
2014,7,31,3, 4,  8,0,0
2014,7,31,4, 4,  8,0,0
2014,7,31,4, 4,  8,0,0
2014,7,31,4, 4,  8,0,0
2014,7,31,4, 4,  8,0,0
2014,7,31,5, 4,  8,0,0
2014,7,31,5, 4,  8,0,0
2014,7,31,5, 4,  8,0,0
2014,7,31,5, 4,  8,0,0
2014,7,31,6, 4,  8,1,0
2014,7,31,6, 4,  8,1,0
2014,7,31,6, 4,  8,1,0
2014,7,31,6, 4,  8,1,0
2014,7,31,7, 4,  8,1,0
2014,7,31,7, 4,  8,1,0
2014,7,31,7, 4,  8,1,0
2014,7,31,7, 4,  8,1,0
2014,7,31,8, 4,  8,1,0
2014,7,31,8, 4,  8,1,0
2014,7,31,8, 4,  8,1,0
2014,7,31,8, 4,  8,1,0
2014,7,31,9, 4,  8,1,0
2014,7,31,9, 4,  8,1,0
2014,7,31,9, 4,  8,1,0
2014,7,31,9, 4,  8,1,0
2014,7,31,10, 4,  8,1,0
2014,7,31,10, 4,  8,1,0
2014,7,31,10, 4,  8,1,0
2014,7,31,10, 4,  8,1,0
2014,7,31,11, 4,  8,1,0
2014,7,31,11, 4,  8,1,0
2014,7,31,11, 4,  8,1,0
2014,7,31,11, 4,  8,1,0
2014,7,31,12, 4,  8,1,0
2014,7,31,12, 4,  8,1,0
2014,7,31,12, 4,  8,1,0
2014,7,31,12, 4,  8,1,0
2014,7,31,13, 4,  8,1,0
2014,7,31,13, 4,  8,1,0
2014,7,31,13, 4,  8,1,0
2014,7,31,13, 4,  8,1,0
2014,7,31,14, 4,  8,1,0
2014,7,31,14, 4,  8,1,0
2014,7,31,14, 4,  8,1,0
2014,7,31,14, 4,  8,1,0
2014,7,31,15, 4,  8,1,0
2014,7,31,15, 4,  8,1,1
2014,7,31,15, 4,  8,1,1
2014,7,31,15, 4,  8,1,1
2014,7,31,16, 4,  8,1,1
2014,7,31,16, 4,  8,1,1
2014,7,31,16, 4,  8,1,1
2014,7,31,16, 4,  8,1,1
2014,7,31,17, 4,  8,1,1
2014,7,31,17, 4,  8,1,1
2014,7,31,17, 4,  8,1,1
2014,7,31,17, 4,  8,1,1
2014,7,31,18, 4,  8,1,1
2014,7,31,18, 4,  8,1,1
2014,7,31,18, 4,  8,1,1
2014,7,31,18, 4,  8,1,1
2014,7,31,19, 4,  8,1,1
2014,7,31,19, 4,  8,1,1
2014,7,31,19, 4,  8,1,1
2014,7,31,19, 4,  8,1,1
2014,7,31,20, 4,  8,1,1
2014,7,31,20, 4,  8,1,1
2014,7,31,20, 4,  8,1,1
2014,7,31,20, 4,  8,1,1
2014,7,31,21, 4,  8,1,1
2014,7,31,21, 4,  8,1,1
2014,7,31,21, 4,  8,1,1
2014,7,31,21, 4,  8,1,1
2014,7,31,22, 4,  8,1,1
2014,7,31,22, 4,  8,1,1
2014,7,31,22, 4,  8,1,0
2014,7,31,22, 4,  8,1,0
2014,7,31,23, 4,  8,1,0
2014,7,31,23, 4,  8,1,0
2014,7,31,23, 4,  8,1,0
2014,7,31,23, 4,  8,1,0
2014,8,7,0, 4,  8,0,0
2014,8,7,0, 4,  8,0,0
2014,8,7,0, 4,  8,0,0
2014,8,7,0, 4,  8,0,0
2014,8,7,1, 4,  8,0,0
2014,8,7,1, 4,  8,0,0
2014,8,7,1, 4,  8,0,0
2014,8,7,1, 4,  8,0,0
2014,8,7,2, 4,  8,0,0
2014,8,7,2, 4,  8,0,0
2014,8,7,2, 4,  8,0,0
2014,8,7,2, 4,  8,0,0
2014,8,7,3, 4,  8,0,0
2014,8,7,3, 4,  8,-1,-1
2014,8,7,3, 4,  8,0,0
2014,8,7,3, 4,  8,0,0
2014,8,7,4, 4,  8,0,0
2014,8,7,4, 4,  8,0,0
2014,8,7,4, 4,  8,0,0
2014,8,7,4, 4,  8,0,0
2014,8,7,5, 4,  8,0,0
2014,8,7,5, 4,  8,0,0
2014,8,7,5, 4,  8,0,0
2014,8,7,5, 4,  8,0,0
2014,8,7,6, 4,  8,0,0
2014,8,7,6, 4,  8,0,0
2014,8,7,6, 4,  8,0,0
2014,8,7,6, 4,  8,0,0
2014,8,7,7, 4,  8,0,0
2014,8,7,7, 4,  8,0,0
2014,8,7,7, 4,  8,0,0
2014,8,7,7, 4,  8,2,0
2014,8,7,8, 4,  8,2,0
2014,8,7,8, 4,  8,2,1
2014,8,7,8, 4,  8,2,1
2014,8,7,8, 4,  8,2,1
2014,8,7,9, 4,  8,2,1
2014,8,7,9, 4,  8,2,1
2014,8,7,9, 4,  8,2,1
2014,8,7,9, 4,  8,1,1
2014,8,7,10, 4,  8,1,1
2014,8,7,10, 4,  8,-1,-1
2014,8,7,10, 4,  8,1,1
2014,8,7,10, 4,  8,1,1
2014,8,7,11, 4,  8,1,1
2014,8,7,11, 4,  8,1,1
2014,8,7,11, 4,  8,2,1
2014,8,7,11, 4,  8,2,1
2014,8,7,12, 4,  8,2,1
2014,8,7,12, 4,  8,2,1
2014,8,7,12, 4,  8,2,1
2014,8,7,12, 4,  8,-1,-1
2014,8,7,13, 4,  8,2,1
2014,8,7,13, 4,  8,0,1
2014,8,7,13, 4,  8,0,1
2014,8,7,13, 4,  8,0,1
2014,8,7,14, 4,  8,-1,-1
2014,8,7,14, 4,  8,-1,-1
2014,8,7,14, 4,  8,-1,-1
2014,8,7,14, 4,  8,-1,-1
2014,8,7,15, 4,  8,-1,-1
2014,8,7,15, 4,  8,-1,-1
2014,8,7,15, 4,  8,-1,-1
2014,8,7,15, 4,  8,-1,-1
2014,8,7,16, 4,  8,-1,-1
2014,8,7,16, 4,  8,-1,-1
2014,8,7,16, 4,  8,-1,-1
2014,8,7,16, 4,  8,-1,-1
2014,8,7,17, 4,  8,-1,-1
2014,8,7,17, 4,  8,-1,-1
2014,8,7,17, 4,  8,-1,-1
2014,8,7,17, 4,  8,-1,-1
2014,8,7,18, 4,  8,-1,-1
2014,8,7,18, 4,  8,-1,-1
2014,8,7,18, 4,  8,-1,-1
2014,8,7,18, 4,  8,-1,-1
2014,8,7,19, 4,  8,-1,-1
2014,8,7,19, 4,  8,-1,-1
2014,8,7,19, 4,  8,-1,-1
2014,8,7,19, 4,  8,-1,-1
2014,8,7,20, 4,  8,-1,-1
2014,8,7,20, 4,  8,-1,-1
2014,8,7,20, 4,  8,-1,-1
2014,8,7,20, 4,  8,-1,-1
2014,8,7,21, 4,  8,-1,-1
2014,8,7,21, 4,  8,-1,-1
2014,8,7,21, 4,  8,-1,-1
2014,8,7,21, 4,  8,-1,-1
2014,8,7,22, 4,  8,-1,-1
2014,8,7,22, 4,  8,-1,-1
2014,8,7,22, 4,  8,-1,-1
2014,8,7,22, 4,  8,-1,-1
2014,8,7,23, 4,  8,-1,-1
2014,8,7,23, 4,  8,-1,-1
2014,8,7,23, 4,  8,-1,-1
2014,8,7,23, 4,  8,-1,-1
2014,8,14,0, 4,  8,1,0
2014,8,14,0, 4,  8,1,0
2014,8,14,0, 4,  8,1,0
2014,8,14,0, 4,  8,1,0
2014,8,14,1, 4,  8,1,0
2014,8,14,1, 4,  8,1,0
2014,8,14,1, 4,  8,1,0
2014,8,14,1, 4,  8,1,0
2014,8,14,2, 4,  8,1,0
2014,8,14,2, 4,  8,1,0
2014,8,14,2, 4,  8,1,0
2014,8,14,2, 4,  8,1,0
2014,8,14,3, 4,  8,1,0
2014,8,14,3, 4,  8,-1,-1
2014,8,14,3, 4,  8,1,0
2014,8,14,3, 4,  8,1,0
2014,8,14,4, 4,  8,1,0
2014,8,14,4, 4,  8,1,0
2014,8,14,4, 4,  8,1,0
2014,8,14,4, 4,  8,1,0
2014,8,14,5, 4,  8,1,0
2014,8,14,5, 4,  8,1,0
2014,8,14,5, 4,  8,1,0
2014,8,14,5, 4,  8,1,0
2014,8,14,6, 4,  8,1,0
2014,8,14,6, 4,  8,1,0
2014,8,14,6, 4,  8,1,0
2014,8,14,6, 4,  8,1,0
2014,8,14,7, 4,  8,1,2
2014,8,14,7, 4,  8,1,2
2014,8,14,7, 4,  8,1,2
2014,8,14,7, 4,  8,1,2
2014,8,14,8, 4,  8,1,2
2014,8,14,8, 4,  8,1,0
2014,8,14,8, 4,  8,1,0
2014,8,14,8, 4,  8,1,0
2014,8,14,9, 4,  8,-1,-1
2014,8,14,9, 4,  8,1,0
2014,8,14,9, 4,  8,1,0
2014,8,14,9, 4,  8,1,0
2014,8,14,10, 4,  8,1,0
2014,8,14,10, 4,  8,1,0
2014,8,14,10, 4,  8,1,0
2014,8,14,10, 4,  8,1,0
2014,8,14,11, 4,  8,1,1
2014,8,14,11, 4,  8,1,1
2014,8,14,11, 4,  8,1,1
2014,8,14,11, 4,  8,1,1
2014,8,14,12, 4,  8,1,1
2014,8,14,12, 4,  8,1,1
2014,8,14,12, 4,  8,1,1
